1018261, Caledonia Farmers Market Association - Danville,0
1009994,18th Street Farmer's Market,1
1000709,26th Annual Highlands Business Partnership's Farmers Market,2
1019956,29 Palms Farmers' Market,3
1009959,2nd Street Market - Five Rivers MetroPark,4
1004950,3 French Hens French Country Market,5
1019938,3rd Day Farmer's Market,6
1021607,4 Veggies & 3 Fruits Farmer’s Market,7
1018965,61st Street Farmers Market,8
1009004,A Growers' Market,9
1019473,Aberdeen Sunday Market,10
1010487,Abingdon Farmers Market,11
1019695,Abita Springs Art & Farmers Market ,12
1021442,Adams County Farmer's Market,13
1019676,Adams County Farmers Market,14
1019351,Adams County Farmers' Market Association,14
1019847,Adams-Ricci Farmers Market,15
1008961,Adaptations' Fresh Feast,16
1019203,AG Farmers' Market,17
1012233,Agricenter International Farmer's Market,18
1005258,Aina Moana  Park (People's Open Market),19
1008054,Airport Farmers and Flea Market,20
1008612,Alachua County Farmers' Market,21
1018304,Alamo Heights Farmers Market,22
1004070,Alamosa Farmers Market,23
1021689,Albany Farmers' Market,24
1019371,Albany IN Farmers Market,25
1021578,Albany Square Farmers Market,26
1000519,Alexandria Bay Farmers Market,27
1019113,Alexandria Farmers Market,28
1021464,Alexandria Farmers Market,29
1021597,Algoma Sunday Farmers Market,30
1019831,Allen County Farmers' Market,31
1019832,Allen County Farmers' Market,31
1012389,Aloha Community Farmers' Market,32
1020150,Alturas Farmers Market,33
1021309,Ambler Farmers' Market,34
1011171,Ames Main Street Farmers' Market,35
1003563,Amicalola Regional Farmers Market,36
1019438,Amqui Station Farmers Market,37
1012157,Anaconda Community Market,38
1005944,Anacortes Farmers Market,39
1019647,Anderson County Farmers Market,40
1020084,Anderson County Farmers Market ,41
1003516,Andersonville Farmers Market,42
1020060,Andover Farmers Market,43
1019484,Annandale Farmers Market ,44
1019096,Annandale Farmers Market - ACT,45
1018934,"Antigo Farmers Market, Inc.",46
1019350,Antioch's Farmers Market,47
1000431,Appleton Downtown Farm Market,48
1021359,Aquidneck Growers Market - Wednesday,49
1021733,Aquidneck Growers Market Miantonomi Community Farmers Market,50
1021732,Aquidneck Growers Market- Saturday Summer,51
1019662,Arlington Village Farmers Market,52
1019904,Armory Farmers Market,53
1019222,Arnold Farmers Market,54
1019495,Artisan Alley Farmers and Makers Market,55
1020068,Artistlane Farmers Market,56
1009810,Ashland Farmers Market,57
1021627,Astoria Sunday Market,58
1001245,ASU Regional Farmers' Market,59
1002984,Atchison Farmers Market,60
1005086,Athens Farmers Market,61
1018033,"Athens Farmers Market, L.L.C.",62
1018032,"Athens Farmers Market, LLC",63
1021450,Athol Farmers Market,64
1018330,"Attleboro Farmers Market, inc",65
1021225,Atwater Village Farmers' Market,66
1019789,Auburn Farmers Market,67
1021329,Aurora Farmers Market,68
1000559,Aurora Local Farmer's Market - Summer Market,69
1021534,AUSTIN FARMERS MARKET ,70
1019396,Avon Farmers Market,71
1019126,Avon Library Farmers Market,72
1021528,Backyard Market in Black Forest ,73
1021530,Backyard Market in Black Forest - Holiday ,74
1021529,Backyard Market in Black Forest - Winter ,75
1019044,Bainbridge Farm Market,76
1019076,Baldwin's Main St. Farmers Market,77
1021338,Ballard Farmers Market ,78
1021521,Bamberg Farmers Market,79
1012081,Bangor Farmers' Market,80
1021582,Barm Bargains Market,81
1001604,Barnegat Farmers Market,82
1020029,Barrow County Farmers Market,83
1003335,Basalt Sunday Market,84
1019871,Bassett Farmers Market,85
1000436,Bastrop 1832 Farmers Market,86
1021540,Batavia Farmers' Market,87
1021265,Batesville Farmers Market,88
1021443,Battle Creek Farmers Market,89
1019617,Bay Area Farmers Market ,90
1019874,Beatrice Farmers Market Indian Creek Mall,91
1020102,Beattyville Main Street Marketplace Locally Made Market,92
1018735,Beaumont Farmers' Market,93
1019875,Beaver City Farmers Market,94
1020097,Beaver Dam Farmer's Market,95
1021630,Beaverdale Farmers Market,96
1019853,Bedford Farmers Market,97
1019400,Bedminster Farmers Market,98
1010607,Bel Air Farmers' Market,99
1011902,Belleville Farmer's Market,100
1021363,Belleville Farmers Market,101
1008140,Bellingham Farmers Market,102
1002064,Belmont Farmers Market,103
1011363,Belton Farmers Market,104
1001316,Bemidji's Natural Choice Farmers Market,105
1001533,Benica Certified Farmers Market,106
1018644,Bennet Farmers' Market,107
1021403,Bentonville Farmers Market ,108
1005183,Berkeley Springs Farmers Market,109
1019005,Berkey Farmers Market,110
1021628,Berwick Winter Farmers Market,111
1019168,BESSEMER FARMERS MARKET,112
1019169,Bessemer Farmers Market at Medical West,113
1019967,Bethalto Market In The Park,114
1021322,"BETHANY BEACH FARMERS' MARKET, INC.",115
1010406,Bethesda Central Farm Market,116
1012494,Bethlehem Farmers' Market,117
1020196,Beverly Hills Farmers Market,118
1019765,Bexley Farmers Market,119
1005949,Big Bear Farmers Market,120
1019338,Big Lake Farmers Market,121
1019339,Big Lake Winter Farmers Market,122
1019591,Billerica Farmers Market,123
